0.004 172 
0.000 350 
0.000 200 
0.000 163 
0.000 135 
0.000 114 
0.000 099 
0.000 088 
0.000 081 
0.000 079 
0.000 080 
0.000 085 
0.000 096 
0.000 116 
0.000 144 
0.000 178 
0.000 216 
0.000 252 
0.000 283 
0.000 305 
0.000 316 
0.000 319 
0.000 316 
0.000 313 
0.000 313 
0.000 317 
0.000 325 
0.000 336 
0.000 350 
0.000 368 
0.000 389 
0.000 413 
0.000 441 
0.000 472 
0.000 506 
0.000 544 
0.000 586 
0.000 633 
0.000 685 
0.000 743 
0.000 807 
0.000 880 
0.000 961 
0.001 052 
0.001 155 
0.001 269 
0.001 398 
0.001 540 
0.001 697 
0.001 870 
0.002 058 
0.002 261 
0.002 479 
0.002 711 
0.002 956 
0.003 213 
0.003 486 
0.003 775 
0.004 084 
0.004 416 
0.004 775 
0.005 166 
0.005 594 
0.006 068 
0.006 596 
0.007 187 
0.007 852 
0.008 605 
0.009 462 
0.010 441 
0.011 566 
0.012 866 
0.014 375 
0.016 138 
0.018 206 
0.020 631 
0.023 468 
0.026 782 
0.030 645 
0.035 138 
0.040 349 
0.046 373 
0.053 312 
0.061 271 
0.070 352 
0.080 646 
0.092 225 
0.105 136 
0.119 389 
0.134 946 
0.151 712 
0.169 517 
0.188 114 
0.207 165 
0.226 308 
0.245 399 
0.264 399 
0.283 328 
0.302 264 
0.321 350 
0.340 792 
0.360 866 
0.381 923 
0.404 393 
0.428 801 
0.455 784 
0.486 115 
0.520 741 
0.560 834 
0.607 857 
1.000 000 
