0.005 338 
0.000 403 
0.000 312 
0.000 229 
0.000 180 
0.000 150 
0.000 132 
0.000 122 
0.000 119 
0.000 122 
0.000 129 
0.000 143 
0.000 163 
0.000 192 
0.000 234 
0.000 297 
0.000 393 
0.000 526 
0.000 687 
0.000 844 
0.000 951 
0.000 997 
0.000 998 
0.000 976 
0.000 953 
0.000 934 
0.000 919 
0.000 908 
0.000 902 
0.000 901 
0.000 905 
0.000 917 
0.000 935 
0.000 962 
0.000 998 
0.001 045 
0.001 102 
0.001 170 
0.001 249 
0.001 342 
0.001 448 
0.001 568 
0.001 704 
0.001 857 
0.002 027 
0.002 217 
0.002 427 
0.002 660 
0.002 919 
0.003 206 
0.003 523 
0.003 873 
0.004 258 
0.004 682 
0.005 147 
0.005 657 
0.006 218 
0.006 833 
0.007 509 
0.008 253 
0.009 071 
0.009 971 
0.010 963 
0.012 056 
0.013 262 
0.014 594 
0.016 070 
0.017 707 
0.019 526 
0.021 554 
0.023 819 
0.026 355 
0.029 201 
0.032 404 
0.036 016 
0.040 081 
0.044 648 
0.049 765 
0.055 480 
0.061 843 
0.068 902 
0.076 701 
0.085 279 
0.094 668 
0.104 894 
0.116 005 
0.128 054 
0.141 097 
0.155 190 
0.170 391 
0.186 760 
0.204 358 
0.223 246 
0.243 488 
0.265 116 
0.288 023 
0.312 012 
0.336 808 
0.362 059 
0.387 329 
0.412 099 
0.435 774 
0.457 695 
0.477 162 
0.493 452 
0.505 863 
0.513 744 
0.568 018 
1.000 000 
